Code,ID,Mode,Level,Nationality,L1,Concordance Line,Verb,Functions,Error,Error-Type-New
W_I_F_WHY_TH,WHY_TH,W,L2,TH,TH,[GLCLC text removed],一样,DISP,,
W_I_F_CRHI_KR_3,CRHI_KR,W,L2,KR,KR,[GLCLC text removed],一见钟情,MS,,
S_I_F_MEL_RU_2,MEL_RU,S,L2,RU,RU,[GLCLC text removed],上瘾,MS,,
W_I_M_HRL_KH_1,HRL_KH,W,L2,KH,Other,[GLCLC text removed],不利,EVAL,,
W_I_M_WYMU_SD_1,WYMU_SD,W,L2,SD,AR,[GLCLC text removed],不满,MS,,
W_I_M_HJ_RU_3,HJ_RU,W,L2,RU,RU,[GLCLC text removed],不满,MS,,
W_I_M_WM_RU,WM_RU,W,L2,RU,RU,[GLCLC text removed],不满,MS,,
W_I_M_LTQ_PE_4,LTQ_PE,W,L2,PE,ES,[GLCLC text removed],严厉,DISP,,
W_I_F_ACYL_JP_1,ACYL_JP,W,L2,JP,JP,[GLCLC text removed],严肃,DISP,,
S_I_F_MLY_RU_1,MLY_RU,S,L2,RU,RU,[GLCLC text removed],习惯,MS,,
S_I_F_ZTT_TH,ZTT_TH,S,L2,TH,TH,[GLCLC text removed],习惯,MS,,
W_I_F_WLLY_RU_3,WLLY_RU,W,L2,RU,RU,[GLCLC text removed],习惯,MS,,
W_I_F_MLY_RU_3,MLY_RU,W,L2,RU,RU,[GLCLC text removed],习惯,MS,,
W_I_M_LTQ_PE_1,LTQ_PE,W,L2,PE,ES,[GLCLC text removed],习惯,MS,,
S_I_F_MLY_RU_1,MLY_RU,S,L2,RU,RU,[GLCLC text removed],了解,MS,,
S_I_F_CSQS_VN,CSQS_VN,S,L2,VN,VN,[GLCLC text removed],了解,MS,,
S_I_F_JRR_KR,JRR_KR,S,L2,KR,KR,[GLCLC text removed],了解,MS,,
S_I_F_JSE_KR,JSE_KR,S,L2,KR,KR,[GLCLC text removed],了解,MS,,
S_I_F_LZA_KR,LZA_KR,S,L2,KR,KR,[GLCLC text removed],了解,MS,,
S_I_F_XSM_KR,XSM_KR,S,L2,KR,KR,[GLCLC text removed],了解,MS,,
S_I_M_HBB_NE,HBB_NE,S,L2,NE,FR,[GLCLC text removed],了解,MS,,
S_I_M_JZJ_KR,JZJ_KR,S,L2,KR,KR,[GLCLC text removed],了解,MS,,
S_I_M_LAQ_MG,LAQ_MG,S,L2,MG,Other,[GLCLC text removed],了解,MS,,
S_I_M_XMJ_FR,XMJ_FR,S,L2,FR,FR,[GLCLC text removed],了解,MS,,
W_I_F_JZLI_KR,JZLI_KR,W,L2,KR,KR,[GLCLC text removed],了解,MS,,
W_I_M_LDYI_KR_2,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],满意,MS,,
W_I_M_LDYI_KR_2,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],了解,MS,,
W_I_F_ZLE_KR,ZLE_KR,W,L2,KR,KR,[GLCLC text removed],了解,MS,,
W_I_F_AHR_KR,AHR_KR,W,L2,KR,KR,[GLCLC text removed],了解,MS,,
W_I_M_JNU_GN_2,JNU_GN,W,L2,GN,EN,[GLCLC text removed],了解,MS,,
W_I_F_RFM_VN_4,RFM_VN,W,L2,VN,VN,[GLCLC text removed],了解,MS,,
W_I_F_CAMLG_TH_3,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],了解,MS,,
W_I_F_CAMLG_TH_3,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],了解,MS,,
S_I_F_JDYI_KR+I_,JDYI_KR,S,L2,KR,KR,[GLCLC text removed],产生,MS,,
W_I_F_LZSA_KR_3,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],产生,MS,,
W_I_M_MTY_RU,MTY_RU,W,L2,RU,RU,[GLCLC text removed],产生,MS,,
W_I_F_ZTT_TH_4,ZTT_TH,W,L2,TH,TH,[GLCLC text removed],产生,MS,,
W_I_M_SMER_KZ_1,SMER_KZ,W,L2,KZ,TK,[GLCLC text removed],产生,MS,,
W_I_F_CAMLG_TH_3,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],产生,MS,,
W_I_F_JRY_KR_3,JRY_KR,W,L2,KR,KR,[GLCLC text removed],亲切,DISP,,
W_I_F_JHXU_KR_3,JHXU_KR,W,L2,KR,KR,[GLCLC text removed],亲切,DISP,,
W_I_F_CAMLG_TH_6,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],体贴,DISP,,
W_I_F_LQQ_TH_8,LQQ_TH,W,L2,TH,TH,[GLCLC text removed],做,SI,,
S_I_M_WYMU_SD_3,WYMU_SD,S,L2,SD,AR,[GLCLC text removed],公平,EVAL,,
W_I_M_LDYI_KR_2,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],关心,DISP,,
W_I_F_ZZLI_KR_1,ZZLI_KR,W,L2,KR,KR,[GLCLC text removed],关心,DISP,,
W_I_F_ZZLI_KR_1,ZZLI_KR,W,L2,KR,KR,[GLCLC text removed],关心,DISP,,
W_I_F_YR_ES_10,YR_ES,W,L2,ES,ES,[GLCLC text removed],关心,DISP,,
S_I_F_CAMLG_TH_2,CAMLG_TH,S,L2,TH,TH,[GLCLC text removed],冷漠,DISP,,
W_I_M_GQQG_JP_3,GQQG_JP,W,L2,JP,JP,[GLCLC text removed],减免,SI,,
W_I_F_ZSYI_TH_6,ZSYI_TH,W,L2,TH,TH,[GLCLC text removed],友善,DISP,,
W_I_M_AMIN_YE,AMIN_YE,W,L2,YE,AR,[GLCLC text removed],友好,DISP,,
W_I_F_CHL_TH_1,CHL_TH,W,L2,TH,TH,[GLCLC text removed],友好,DISP,,
W_I_F_NLSA_KG_3,NLSA_KG,W,L2,KG,TK,[GLCLC text removed],友爱,DISP,,
W_I_F_PZP_KR_1,PZP_KR,W,L2,KR,KR,[GLCLC text removed],发,DA,,
W_I_F_CLY_KR_1,CLY_KR,W,L2,KR,KR,[GLCLC text removed],变,SI,,
W_I_M_ZLO_RU,ZLO_RU,W,L2,RU,RU,[GLCLC text removed],吃惊,MS,,
S_I_M_MHMAD_TJ,MHMAD_TJ,S,L2,TJ,Other,[GLCLC text removed],合适,EVAL,,
S_I_F_JXZ_KR_1,JXZ_KR,S,L2,KR,KR,[GLCLC text removed],合适,EVAL,,
W_I_F_JA_KR_5,JA_KR,W,L2,KR,KR,[GLCLC text removed],合适,EVAL,,
W_I_F_JA_KR_5,JA_KR,W,L2,KR,KR,[GLCLC text removed],合适,EVAL,,
W_I_F_JA_KR_5,JA_KR,W,L2,KR,KR,[GLCLC text removed],合适,EVAL,,
W_I_F_SZYI_KR_1,SZYI_KR,W,L2,KR,KR,[GLCLC text removed],和善,DISP,,
W_I_F_JHXU_KR_3,JHXU_KR,W,L2,KR,KR,[GLCLC text removed],和蔼,DISP,,
W_I_F_WDLY_RU_19,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],喜爱,MS,,
S_I_F_JXH_KR_3,JXH_KR,S,L2,KR,KR,[GLCLC text removed],失去,MS,,
S_I_F_JZYA_KR_2,JZYA_KR,S,L2,KR,KR,[GLCLC text removed],好,DISP,,
S_I_F_OMLI_TH_2,OMLI_TH,S,L2,TH,TH,[GLCLC text removed],好,DISP,,
S_I_M_BALID_GN_2,BALID_GN,S,L2,GN,EN,[GLCLC text removed],好,DISP,,
S_I_M_SWJ_KZ_2,SWJ_KZ,S,L2,KZ,TK,[GLCLC text removed],好,DISP,,
S_I_F_JHXI_KR_2,JHXI_KR,S,L2,KR,KR,[GLCLC text removed],好,DISP,,
S_I_F_NS_ML_1,NS_ML,S,L2,ML,FR,[GLCLC text removed],好,DISP,,
S_I_F_OMLI_TH_1,OMLI_TH,S,L2,TH,TH,[GLCLC text removed],好,EVAL,,
S_I_M_ALFD_GN_1,ALFD_GN,S,L2,GN,EN,[GLCLC text removed],好,EVAL,,
S_I_M_ALFD_GN_1,ALFD_GN,S,L2,GN,EN,[GLCLC text removed],好,DISP,,
S_I_M_ALFD_GN_1,ALFD_GN,S,L2,GN,EN,[GLCLC text removed],好,DISP,,
S_I_M_LMHA_TH+I_,LMHA_TH+I_,S,L2,TH,TH,[GLCLC text removed],好,EVAL,,
S_I_F_FLS_GQ,FLS_GQ,S,L2,GQ,ES,[GLCLC text removed],好,EVAL,,
S_I_F_HLY_TH,HLY_TH,S,L2,TH,TH,[GLCLC text removed],好,EVAL,,
S_I_F_JTN_GQ,JTN_GQ,S,L2,GQ,ES,[GLCLC text removed],好,EVAL,,
S_I_F_LLX_KR,LLX_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_F_LZA_KR,LZA_KR,S,L2,KR,KR,[GLCLC text removed],好,DISP,,
S_I_F_QJZU_KR_1,QJZU_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_F_QXX_KR,QXX_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_M_ADH_RU_3,ADH_RU,S,L2,RU,RU,[GLCLC text removed],满意,MS,,
S_I_M_AGL_BF,AGL_BF,S,L2,BF,FR,[GLCLC text removed],好,DISP,,
S_I_M_AGL_BF,AGL_BF,S,L2,BF,FR,[GLCLC text removed],好,DISP,,
S_I_M_AGL_BF,AGL_BF,S,L2,BF,FR,[GLCLC text removed],好,DISP,,
S_I_M_BTLK_TG_3,BTLK_TG,S,L2,TG,EN,[GLCLC text removed],好,DISP,,
S_I_M_BTLK_TG_3,BTLK_TG,S,L2,TG,EN,[GLCLC text removed],好,DISP,,
S_I_M_LMA_PT,LMA_PT,S,L2,PT,PT,[GLCLC text removed],好,DISP,,
S_I_M_MENG_TH,MENG_TH,S,L2,TH,TH,[GLCLC text removed],好,DISP,,
S_I_M_MW_RU,MW_RU,S,L2,RU,RU,[GLCLC text removed],好,DISP,,
S_I_M_MW_RU,MW_RU,S,L2,RU,RU,[GLCLC text removed],好,DISP,,
S_I_F_CAMLG_TH_2,CAMLG_TH,S,L2,TH,TH,[GLCLC text removed],好,DISP,,
S_I_F_CAMLG_TH_2,CAMLG_TH,S,L2,TH,TH,[GLCLC text removed],好,DISP,,
S_I_F_JA_KR_3,JA_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_F_JZE_KR,JZE_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_F_JZE_KR,JZE_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_F_JZE_KR,JZE_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_F_LCL_KR_2,LCL_KR,S,L2,KR,KR,[GLCLC text removed],好,DISP,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],好,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],好,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],好,EVAL,,
S_I_F_ZLYE_RU_3,ZLYE_RU,S,L2,RU,RU,[GLCLC text removed],好,EVAL,,
S_I_M_DCYY_JP_3,DCYY_JP,S,L2,JP,JP,[GLCLC text removed],好,EVAL,,
S_I_M_LC_TH_3,LC_TH,S,L2,TH,TH,[GLCLC text removed],好,EVAL,,
S_I_M_LC_TH_3,LC_TH,S,L2,TH,TH,[GLCLC text removed],好,EVAL,,
S_I_M_LIF_RU_3,LIF_RU,S,L2,RU,RU,[GLCLC text removed],好,EVAL,,
S_I_M_MWH_VE_2,MWH_VE,S,L2,VE,ES,[GLCLC text removed],好,EVAL,,
S_I_M_QFS_KR,QFS_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_M_QFS_KR,QFS_KR,S,L2,KR,KR,[GLCLC text removed],好,EVAL,,
S_I_M_WGZE_VN_3,WGZE_VN,S,L2,VN,VN,[GLCLC text removed],好,EVAL,,
S_I_M_WYMU_SD_4,WYMU_SD,S,L2,SD,AR,[GLCLC text removed],好,EVAL,,
W_I_M_SXD_KR,SXD_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_M_SXD_KR,SXD_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_CXYA_KR_1,CXYA_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_CXYA_KR_1,CXYA_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_JXJ_KR_1,JXJ_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_JXJ_KR_1,JXJ_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_MX_CS,MX_CS,W,L2,CS,Other,[GLCLC text removed],好,EVAL,,
W_I_F_MX_CS,MX_CS,W,L2,CS,Other,[GLCLC text removed],好,EVAL,,
W_I_F_YZX_KR_1,YZX_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_PZY_KR_1,PZY_KR,W,L2,KR,KR,[GLCLC text removed],好,DISP,,
W_I_F_CLY_KR_1,CLY_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_ZJJ_KR,ZJJ_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_ZSM_KR_3,ZSM_KR,W,L2,KR,KR,[GLCLC text removed],好,DISP,,
W_I_M_NE_KZ_1,NE_KZ,W,L2,KZ,TK,[GLCLC text removed],好,EVAL,,
W_I_F_ZSM_KR_1,ZSM_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_CQM_TH,CQM_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_JRY_KR_3,JRY_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_OMLI_TH,OMLI_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_OMLI_TH,OMLI_TH,W,L2,TH,TH,[GLCLC text removed],好,EVAL,,
W_I_M_BJM_AO_2,BJM_AO,W,L2,AO,PT,[GLCLC text removed],好,EVAL,,
W_I_M_WJS_MU,WJS_MU,W,L2,MU,Other,[GLCLC text removed],好,EVAL,,
W_I_F_KYC_RU_1,KYC_RU,W,L2,RU,RU,[GLCLC text removed],好,EVAL,,
W_I_F_LLS_TH_1,LLS_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_M_HLH_TH_5,HLH_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_YYQH_JP_2,YYQH_JP,W,L2,JP,JP,[GLCLC text removed],好,DISP,,
W_I_F_GB_MX,GB_MX,W,L2,MX,ES,[GLCLC text removed],好,DISP,,
W_I_F_GB_MX,GB_MX,W,L2,MX,ES,[GLCLC text removed],好,DISP,,
W_I_F_GB_MX,GB_MX,W,L2,MX,ES,[GLCLC text removed],好,DISP,,
W_I_F_MELI_KG,MELI_KG,W,L2,KG,TK,[GLCLC text removed],好,DISP,,
W_I_M_LWC_TH_2,LWC_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_M_MHMAD_TJ_2,MHMAD_TJ,W,L2,TJ,Other,[GLCLC text removed],好,DISP,,
W_I_F_JA_KR_4,JA_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_MLY_RU_3,MLY_RU,W,L2,RU,RU,[GLCLC text removed],好,EVAL,,
W_I_M_LIF_RU_2,LIF_RU,W,L2,RU,RU,[GLCLC text removed],好,DISP,,
W_I_F_SSXI_KR_2,SSXI_KR,W,L2,KR,KR,[GLCLC text removed],好,DISP,,
W_I_F_CAMLG_TH_1,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_HPL_TH_3,HPL_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_HPL_TH_8,HPL_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_M_LWC_TH_9,LWC_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_M_MLIK_TJ,MLIK_TJ,W,L2,TJ,Other,[GLCLC text removed],好,DISP,,
W_I_F_PZY_KR_2,PZY_KR,W,L2,KR,KR,[GLCLC text removed],好,DISP,,
W_I_F_LZLA_CD_7,LZLA_CD,W,L2,CD,FR,[GLCLC text removed],好,DISP,,
W_I_F_CAMLG_TH_1,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_M_LMA_PT_1,LMA_PT,W,L2,PT,PT,[GLCLC text removed],好,DISP,,
W_I_F_CAMLG_TH_6,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_ZSYI_TH_7,ZSYI_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_M_LWC_TH_7,LWC_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_DNY_RU_13,DNY_RU,W,L2,RU,RU,[GLCLC text removed],好,DISP,,
W_I_F_LWL_ID_14,LWL_ID,W,L2,ID,Other,[GLCLC text removed],好,EVAL,,
W_I_F_JZUE_KR_7,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_JZUE_KR_7,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_JZUE_KR_7,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_JZUE_KR_7,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_JZUE_KR_7,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_JZUE_KR_7,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_M_DCYY_JP_1,DCYY_JP,W,L2,JP,JP,[GLCLC text removed],好,EVAL,,
W_I_M_BALID_GN_2,BALID_GN,W,L2,GN,EN,[GLCLC text removed],好,EVAL,,
W_I_F_LYZI_KR_1,LYZI_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
W_I_F_QBYZ_JP_7,QBYZ_JP,W,L2,JP,JP,[GLCLC text removed],好,EVAL,,
W_I_F_QBYZ_JP_7,QBYZ_JP,W,L2,JP,JP,[GLCLC text removed],好,EVAL,,
W_I_M_MWH_VE_2,MWH_VE,W,L2,VE,ES,[GLCLC text removed],好,DISP,,
W_I_M_ABL_UZ_2,ABL_UZ,W,L2,UZ,TK,[GLCLC text removed],好,DISP,,
W_I_M_ABL_UZ_2,ABL_UZ,W,L2,UZ,TK,[GLCLC text removed],好,EVAL,,
W_I_M_BALID_GN_1,BALID_GN,W,L2,GN,EN,[GLCLC text removed],好,EVAL,,
W_I_F_LZYA_KR_5,LZYA_KR,W,L2,KR,KR,[GLCLC text removed],好,EVAL,,
